predictor_order,predictor,family,source,source_column,model_role,missingness_semantics,issue_time_semantics
57,era5__snow_depth_mwe_prev1d,DYNAMIC,era5,snow_depth_mwe_prev1d,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
58,era5__soil_profile_mean_m3_m3,DYNAMIC,era5,soil_profile_mean_m3_m3,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
59,era5__soil_profile_mean_prev1d_m3_m3,DYNAMIC,era5,soil_profile_mean_prev1d_m3_m3,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
60,era5__qwind925_proxy,DYNAMIC,era5,qwind925_proxy,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
61,era5__q925_prev1d_kg_kg,DYNAMIC,era5,q925_prev1d_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
62,era5__wind925_prev1d_m_s,DYNAMIC,era5,wind925_prev1d_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
63,era5__qwind850_proxy,DYNAMIC,era5,qwind850_proxy,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
64,era5__q850_prev1d_kg_kg,DYNAMIC,era5,q850_prev1d_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
65,era5__wind850_prev1d_m_s,DYNAMIC,era5,wind850_prev1d_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
66,era5__qwind700_proxy,DYNAMIC,era5,qwind700_proxy,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
67,era5__q700_prev1d_kg_kg,DYNAMIC,era5,q700_prev1d_kg_kg,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
68,era5__wind700_prev1d_m_s,DYNAMIC,era5,wind700_prev1d_m_s,PRIMARY_DYNAMIC_CORE,STANDARD,END_OF_DAY_REANALYSIS_ANALYSIS
69,medsea_ivt__medsea_sst_anom_corridor_c,DYNAMIC,medsea_ivt,medsea_sst_anom_corridor_c,PRIMARY_DYNAMIC_CORE,CONDITIONAL_MEDSEA_SUPPORT__NO_ZERO_IMPUTATION,END_OF_DAY_REANALYSIS_ANALYSIS
